,gender,attr,sinc,intel,fun,amb,question
0,0.0,18.020371747211897,18.222230483271375,20.971003717472115,17.299107806691453,12.818475836431226,11
1,1.0,27.008864468864477,16.389706959706963,19.41956043956044,17.592051282051287,8.823956043956043,11
0,0.5,22.514618108038185,17.30596872148917,20.19528207851628,17.44557954437137,10.821215940193635,11
0,0.0,35.600631970260224,11.284535315985133,12.47843866171004,19.05163568773234,9.114386617100372,21
1,1.0,24.884525547445257,15.108467153284677,16.3542700729927,18.044416058394162,14.357481751824821,21
0,0.5,30.24257875885274,13.196501234634905,14.41635436735137,18.548025873063253,11.735934184462597,21
0,0.0,7.21909157153267,8.458343453971338,8.320621811999029,7.893611853291231,7.632499392761719,31
1,1.0,6.951636188642926,8.13306063522618,8.486525505293551,7.517083734359962,7.524783445620789,31
0,0.5,7.085363880087797,8.295702044598759,8.403573658646291,7.705347793825597,7.578641419191254,31
0,0.0,24.711378353376503,11.369102682701202,13.109158186864015,14.92876965772433,11.872032069071848,41
1,1.0,28.075785582255083,10.774183610597659,12.163894023413432,16.204251386321626,7.690080098582871,41
0,0.5,26.39358196781579,11.07164314664943,12.636526105138724,15.566510522022977,9.781056083827359,41
