,gender,attr,sinc,intel,fun,amb,question
0,0.0,18.020371747211897,18.222230483271375,20.971003717472115,17.299107806691453,12.818475836431226,11
1,1.0,27.008864468864477,16.389706959706963,19.41956043956044,17.592051282051287,8.823956043956043,11
0,0.5,22.514618108038185,17.30596872148917,20.19528207851628,17.44557954437137,10.821215940193635,11
0,0.0,35.600631970260224,11.284535315985133,12.47843866171004,19.05163568773234,9.114386617100372,21
1,1.0,24.884525547445257,15.108467153284677,16.3542700729927,18.044416058394162,14.357481751824821,21
0,0.5,30.24257875885274,13.196501234634905,14.41635436735137,18.548025873063253,11.735934184462597,21
0,0.0,7.21909157153267,8.458343453971338,8.320621811999029,7.893611853291231,7.632499392761719,31
1,1.0,6.951636188642926,8.13306063522618,8.486525505293551,7.517083734359962,7.524783445620789,31
0,0.5,7.085363880087797,8.295702044598759,8.403573658646291,7.705347793825597,7.578641419191254,31
0,0.0,24.711378353376503,11.369102682701202,13.109158186864015,14.92876965772433,11.872032069071848,41
1,1.0,28.075785582255083,10.774183610597659,12.163894023413432,16.204251386321626,7.690080098582871,41
0,0.5,26.39358196781579,11.07164314664943,12.636526105138724,15.566510522022977,9.781056083827359,41
0,0.0,21.86299578059072,16.562194092827003,19.11438818565401,17.394894514767934,11.495147679324893,12
1,1.0,30.126720647773283,15.204534412955464,16.75145748987854,17.736356275303645,8.535384615384615,12
0,0.5,25.994858214182003,15.883364252891234,17.932922837766277,17.565625395035788,10.015266147354755,12
0,0.0,32.9435,12.094555555555555,12.492944444444442,18.767999999999997,9.672611111111111,22
1,1.0,25.294521276595745,15.908138297872338,15.623510638297871,17.21409574468085,14.278404255319153,22
0,0.5,29.119010638297873,14.001346926713946,14.058227541371156,17.991047872340424,11.975507683215131,22
0,0.0,7.260504201680672,8.163865546218487,8.105042016806722,7.781512605042017,7.491596638655462,32
1,1.0,6.9757085020242915,7.716599190283401,8.331983805668017,7.425101214574899,7.433198380566802,32
0,0.5,7.118106351852482,7.940232368250944,8.218512911237369,7.603306909808458,7.462397509611132,32
0,0.0,24.166666666666668,12.716666666666667,13.066666666666666,14.45,10.655555555555555,42
1,1.0,29.127659574468087,10.97872340425532,11.079787234042554,15.792553191489361,8.186170212765957,42
0,0.5,26.647163120567377,11.847695035460994,12.07322695035461,15.12127659574468,9.420862884160755,42
